wall_time,seq,ts_ms,ax,ay,az,gx,gy,gz,ppg,dropped_before
1773933346.498125,28493,287009,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.508501,28494,287019,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.5180519,28495,287029,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.5283043,28496,287039,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.538172,28497,287049,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.548179,28498,287059,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.557902,28499,287069,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.568575,28500,287079,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.5916123,28501,287089,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.5957363,28502,287099,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.606469,28503,287109,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.6084266,28504,287119,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933346.6181328,28505,287129,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933346.6278915,28506,287139,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933346.6379154,28507,287149,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933346.6484954,28508,287159,0.0,0.0,0.0,0.0,0.0,0.0,167,0
1773933346.658081,28509,287169,0.0,0.0,0.0,0.0,0.0,0.0,167,0
1773933346.6678884,28510,287179,0.0,0.0,0.0,0.0,0.0,0.0,167,0
1773933346.6780639,28511,287189,0.0,0.0,0.0,0.0,0.0,0.0,167,0
1773933346.688476,28512,287199,0.0,0.0,0.0,0.0,0.0,0.0,154,0
1773933346.6985376,28513,287209,0.0,0.0,0.0,0.0,0.0,0.0,154,0
1773933346.7083263,28514,287219,0.0,0.0,0.0,0.0,0.0,0.0,154,0
1773933346.7180016,28515,287229,0.0,0.0,0.0,0.0,0.0,0.0,154,0
1773933346.728639,28516,287239,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933346.738067,28517,287249,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933346.7479558,28518,287259,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933346.7581508,28519,287269,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933346.7685242,28520,287279,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933346.7781608,28521,287289,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933346.7880497,28522,287299,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933346.7998693,28523,287309,0.0,0.0,0.0,0.0,0.0,0.0,153,0
1773933346.8082967,28524,287319,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.8179474,28525,287329,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.8279097,28526,287339,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.8382514,28527,287349,0.0,0.0,0.0,0.0,0.0,0.0,147,0
1773933346.848498,28528,287359,0.0,0.0,0.0,0.0,0.0,0.0,141,0
1773933346.8582616,28529,287369,0.0,0.0,0.0,0.0,0.0,0.0,141,0
1773933346.8681014,28530,287379,0.0,0.0,0.0,0.0,0.0,0.0,141,0
1773933346.8780634,28531,287389,0.0,0.0,0.0,0.0,0.0,0.0,141,0
1773933346.8883069,28532,287399,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.8982272,28533,287409,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.908014,28534,287419,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.9180145,28535,287429,0.0,0.0,0.0,0.0,0.0,0.0,145,0
1773933346.9285443,28536,287439,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.9381542,28537,287449,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.9481232,28538,287459,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.9581876,28539,287469,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.9694204,28540,287479,0.0,0.0,0.0,0.0,0.0,0.0,146,0
1773933346.978052,28541,287489,0.0,0.0,0.0,0.0,0.0,0.0,146,0
